iterations,error
10,96.37351886530915
20,93.52207603193492
30,90.28842628502689
40,88.2898379134397
50,86.33852350588658
60,84.04905084411234
70,81.371802087069
80,77.99037204000027
90,74.68530213641776
100,71.31814837971636
110,68.05743061628077
120,64.46150446137158
130,60.28541027388268
140,56.52457158232142
150,52.13587133350194
160,47.44978187027072
170,42.37664619422262
180,37.77326140616617
190,32.733852758900255
200,28.486662393930583
210,22.168617355098128
220,15.86172972598866
230,9.953265110697735
