iterations,error
10,162.12228528617763
20,155.92862235990242
30,151.44645702150174
40,146.25386448501638
50,132.49079811431153
60,118.25515489516721
70,105.70107351917729
80,93.58799212691018
90,82.10700972984553
100,74.19391565980936
110,69.83291933844548
120,66.86401353002027
130,64.2124852782552
140,61.512501981219366
150,57.52648795559464
160,53.081384335811904
170,48.36999700992956
180,43.469884843022655
190,38.44707346826696
200,33.0937714561131
210,27.69547509191143
220,21.69591234373246
230,15.193062814418596
