iterations,error
10,99.87559790238885
20,97.37539936918346
30,94.91916022765784
40,92.93702136342527
50,90.46691598194853
60,87.83506392742233
70,84.82504519575974
80,82.00177211531872
90,78.98509884146367
100,75.31839531436178
110,72.12350561961696
120,68.07768281939978
130,64.19221227452987
140,59.96380195065618
150,55.73757777981743
160,51.51408398855465
170,46.28468185654276
180,41.21357266077594
190,35.41638355666216
200,29.83984905759745
210,23.15809830212026
220,16.94343820779229
230,10.174947299817006
