iterations,error
10,94.17555500174575
20,92.2611245958455
30,91.81219256152362
40,91.13513817726219
50,90.09439203010301
60,89.57783290707782
70,89.39239866038015
80,88.94956034150879
90,88.6261083557545
100,87.39424561356084
110,86.01856326111124
120,84.37661744887862
130,82.77345353230727
140,81.88442007976911
150,79.46328919370828
160,78.68268958045358
170,77.92962098081021
180,76.50957740769368
190,75.09804311739165
200,72.99773073932236
210,71.91497535875828
220,71.5867213919904
230,70.51534669901599
240,69.1043135662675
250,68.60522746050674
260,66.42551404233151
270,64.71996294708282
280,62.3860600397687
290,60.800561086277135
300,57.345008808970725
310,54.30324601389655
320,52.51657459549532
330,50.943840134149056
340,50.18258175608463
350,48.85789546936873
360,45.96918719786493
370,45.31309523115281
380,42.726804806347175
390,41.79455257740007
400,40.27524329991624
410,39.57276686839751
420,37.12904020363736
430,33.27918604980016
440,30.235326180753752
450,28.599201510890854
460,25.97965258285319
470,22.643199416603466
480,16.661955913468645
490,12.371775170694443
