iterations,error
10,90.30340453055837
20,90.62947981618609
30,89.02477873198087
40,87.74914828638302
50,86.43292832817419
60,85.9481291303446
70,85.08304672475705
80,83.69878298158584
90,81.59216364885458
100,79.24969029666667
110,77.86194894432819
120,75.63467413278761
130,73.82792088640977
140,71.17782639748039
150,68.4802814007622
160,66.20976159907772
170,65.38134559293104
180,62.9607709510122
190,61.146123598025554
200,57.281050549332114
210,53.169292108663775
220,50.35745348376825
230,48.590197263316014
240,44.721522576054234
250,40.68870076056205
260,37.66097374163689
270,34.02169003008748
280,32.6223847965393
290,26.99598743043239
300,22.11701292576852
310,17.0895009555618
320,15.262658881208491
330,12.580424556020366
