iterations,error
10,104.37355351445865
20,104.76235055125511
30,103.76519396237533
40,103.76519396237533
50,102.63018239729894
60,102.06968438709264
70,101.75755100120885
80,99.99793305382923
90,97.9594109128836
100,96.86270355880416
110,94.4350427141095
120,93.8626783108399
130,92.289702060167
140,91.19131453795163
150,90.9791106084374
160,89.63099495278243
170,89.75822749806562
180,88.58106043314834
190,86.92874416402739
200,85.26231519950566
210,84.36320763238294
220,82.91792428995504
230,81.80559790559595
240,80.20830592465018
250,79.85188141947427
260,78.97468594541
270,78.48657085129024
280,78.46678219228832
290,78.04769344614577
300,76.0397222564632
310,75.1613794927991
320,74.10002682107128
330,72.3218894466809
340,71.16543045217325
350,71.50848456297952
360,70.01284274715157
370,69.71419938404536
380,68.32907271838529
390,67.73999954405443
400,65.76280224539447
410,65.41774320879668
420,62.862819916531635
430,59.723112306886875
440,58.570474954981044
450,57.16558465266748
460,54.69964013909646
470,54.42376202562695
480,50.04211760615364
490,47.13769305009037
500,47.07827603694381
510,45.73454744361952
520,42.68077398299128
530,39.121868427057976
540,39.44991478647944
550,38.842937992441534
560,35.148972846513985
570,31.715738921199215
580,29.338732881271387
590,28.948029156583026
600,28.047378776299844
610,26.895272435111885
620,30.534819807472818
630,28.1227424387149
640,23.289111743891418
650,20.911569145510587
660,20.61129529844634
670,11.282809667747708
680,15.793796037732928
690,10.357160313351432
