iterations,error
10,142.03188629491223
20,137.06580630247205
30,131.83290668852743
40,128.9061482882718
50,127.10638223007206
60,124.91318370699511
70,113.2255295698158
80,103.6321647570689
90,97.72637513182549
100,92.0214546285921
110,87.79282731032119
120,77.15842081865377
130,68.2564305878147
140,64.54712276103618
150,60.58549426550551
160,58.34712930379543
170,56.12264733786497
180,55.079958721488744
190,53.59125228105214
200,52.4891634174268
210,50.09363080249278
220,45.351565320043605
230,41.79927430585764
240,39.66093343299692
250,38.45353451944599
260,35.31660689546205
270,30.36814558932878
280,27.468801184324608
290,21.56350329034076
300,18.471842231335156
310,15.133133170742235
320,10.595665493927442
