iterations,error
10,66.55400044091972
20,64.53874168404963
30,64.53874168404963
40,62.9271019574125
50,62.1786868864887
60,59.303647435287004
70,55.855077180098796
80,54.309168542263166
90,53.21929576362255
100,52.801324238325826
110,48.15267756403181
120,47.031278270045625
130,43.89433659322031
140,40.97569462063606
150,37.965295405106275
160,35.094527031891914
170,30.553507516233545
180,31.102901403347637
190,27.12359398080175
200,24.65252593187177
210,22.633135479122497
220,17.078723026175886
230,10.784762716872851
240,12.635183992347674
250,20.032028967899976
260,9.150211457495438
