iterations,error
10,98.50719850739256
20,97.62988163351677
30,97.86101137253303
40,96.52519699430539
50,96.20168996166242
60,96.37929584004195
70,95.8208765058738
80,95.75216909743227
90,94.72067978576754
100,94.38643193230726
110,93.8315248712803
120,93.8044264946809
130,94.3403589362171
140,92.959133587744
150,93.03006445894857
160,92.73563772705857
170,92.37999459416523
180,92.41517348958996
190,91.6602743538284
200,91.51719681676869
210,90.51003958904387
220,89.7399139840449
230,89.0218051361116
240,87.86204762762665
250,86.86687216178863
260,86.47686338270964
270,86.08807740489351
280,85.35560089928282
290,85.16880218563647
300,83.92234621223615
310,83.59924022372957
320,83.31319335320765
330,82.78368677229744
340,82.78694209122614
350,81.0656496361248
360,80.30760451816298
370,78.62157361697045
380,78.86661826060035
390,77.4019428026594
400,75.99133015478895
410,74.58673092566465
420,73.2980056752226
430,71.1716306864286
440,68.75165437233797
450,66.68634885537739
460,68.07797977360948
470,67.90396149022146
480,67.84345464003863
490,67.71774435831944
500,66.33424927052417
510,64.0763984331459
520,63.04291615046096
530,61.22748647275947
540,60.820154277793755
550,61.29629816253405
560,61.7912502807073
570,59.67593471624193
580,58.69611326611248
590,58.29444114155593
600,56.099308141647086
610,53.86441872264133
620,55.10318677174341
630,54.38789314886223
640,52.614768903122915
650,53.11805442876185
660,52.21836218065306
670,51.65622281260481
680,49.82626087073116
690,48.042665565720846
700,48.042665565720846
710,46.08264074212134
720,43.17728342361954
730,40.50099184237035
740,38.26427804726525
750,37.03895969986616
760,35.40430279279273
770,35.78060357584384
780,34.748731829587776
790,32.570293292032375
800,30.674426909410858
810,30.114995914617555
820,28.973130711007634
830,29.920215522538083
840,28.393013968921302
850,28.393013968921302
860,26.746215602339866
870,26.741379356385302
880,23.51673207866225
890,22.647277141469726
900,26.741379356385302
910,27.495084712534304
920,22.88599523638078
930,22.240128848489835
940,20.74658555693098
950,18.839819610544467
960,12.93362663881883
