iterations,error
10,97.60088954631698
20,94.79430799056315
30,88.56142942087892
40,86.87021202430374
50,79.41632078429264
60,73.09205799743422
70,68.26277256717967
80,64.3753287179117
90,61.758233354283696
100,59.21363442306357
110,57.4520852305973
120,53.70153286396226
130,50.405075951972904
140,46.20109833543908
150,44.05703145367548
160,41.894325805826206
170,40.05242076198186
180,35.85618732967513
190,31.656824486662813
200,27.757562441491046
210,22.06936095062502
220,18.32413339921346
230,16.254999111916923
