iterations,error
10,102.96895980032073
20,101.5559380568311
30,100.50945100019379
40,98.38650878124167
50,96.97384286771533
60,95.89852197009058
70,94.20002137551847
80,92.37172598829535
90,90.63285380900038
100,87.80838862908692
110,86.9727323805846
120,84.81709566972759
130,81.8841511612068
140,80.5605717508363
150,76.72482261714937
160,74.8892792061392
170,70.86711589749531
180,67.46430561437066
190,64.4788215062219
200,61.07601243760806
210,57.19816664510044
220,52.84900186485551
230,48.3143533127685
240,44.880587650814654
250,41.67362794768208
260,38.535407776799005
270,33.72572326191522
280,28.879967580798862
290,25.548481843747105
300,23.121961016802473
310,17.659566190663217
320,13.55238316224178
330,15.151250955721316
