iterations,error
10,99.86857441113926
20,98.43894711094262
30,97.02356160851775
40,95.35348099615737
50,94.30427327981587
60,92.69990279623079
70,90.05922707060475
80,88.78108324485999
90,86.51151676390637
100,84.38094998583303
110,82.00951987980724
120,79.37480699613174
130,76.18734864235905
140,73.6866117373225
150,70.8578746570488
160,68.19165484732113
170,64.93939196343854
180,61.05281322203682
190,57.34247652039326
200,54.400828072393814
210,53.069190765447466
220,50.26209946468843
230,46.718477293777646
240,42.904454853540194
250,41.752675293770245
260,38.6045123920633
270,36.10682567805098
280,30.56746053202975
290,28.729799368711788
300,26.152430244478296
310,21.67111237623106
320,15.337576716293082
330,14.365886004058833
340,9.763280358780925
