iterations,error
10,97.45385915423158
20,96.23920593556116
30,94.98577682958931
40,93.55905666697987
50,91.90664531871973
60,90.0235342708591
70,87.73703098677825
80,86.41866734577279
90,84.02027777895506
100,81.93539692184831
110,80.15755124520257
120,78.14749090135845
130,75.92945586882242
140,73.51452847258105
150,71.23203648114912
160,68.18496136693497
170,65.28001980601329
180,63.686438144981835
190,59.48963612727909
200,56.60512202375684
210,53.368364808717324
220,49.68684456605761
230,47.94223685524278
240,43.143908777694996
250,40.78053136116978
260,37.45899492409641
270,35.402081681291804
280,32.11492815540408
290,28.19384902293399
300,26.58713473464646
310,22.417616391792528
320,15.208109071996507
330,12.998047836198719
