iterations,error
10,84.8256134051606
20,82.38918346020833
30,80.41567735116472
40,78.72902897774894
50,77.07810924074386
60,75.72156279731826
70,72.9230624675389
80,69.69592651251966
90,67.0535243109618
100,63.762628035314535
110,60.16866662123476
120,57.861095285623335
130,55.816919952827504
140,53.05038935766029
150,48.68388163869848
160,45.9987283699066
170,42.63957967813688
180,38.4151366017213
190,37.04342896348596
200,31.912142596103298
210,25.751160292994584
220,21.260637690345725
230,17.865232542124005
240,11.32359002109947
