iterations,error
10,95.61627635475402
20,95.23496230298692
30,94.2428735736744
40,92.33517228695223
50,91.16488968180931
60,89.80921991745345
70,88.40053249806144
80,85.70379785423782
90,83.14165521621143
100,80.28488279452216
110,79.7185372175051
120,77.66474392877272
130,74.74773168060038
140,73.88949806448257
150,71.66392491813437
160,68.56669715644995
170,67.07684294498152
180,65.49997972387561
190,63.55170192412223
200,61.75253724874766
210,59.38979632102257
220,56.44265705518268
230,54.01056463940991
240,53.32533914899895
250,52.359000509646506
260,50.660206072927636
270,48.620232230103916
280,47.204712300578414
290,47.02735836984587
300,43.82515156557863
310,39.9592220255004
320,35.53169431121263
330,33.15806322353147
340,28.158805671360547
350,27.142870507420543
360,23.691366407519894
370,23.481653591126157
380,20.473698554183677
390,14.18409805785891
400,11.135143072581405
