iterations,error
10,74.91531398953752
20,73.34327581519966
30,71.33713166828417
40,69.02985393187764
50,70.10273155615764
60,68.04696312431568
70,65.13165982049404
80,63.205690267160286
90,62.841516364781555
100,59.93885923714309
110,58.31166975379183
120,57.22845503294645
130,53.9866469226032
140,52.240698610937926
150,51.283545963829575
160,50.18258175608463
170,48.333044438854984
180,45.301687439063016
190,43.688127186656104
200,40.70513230128425
210,36.48410199190197
220,35.281876045877105
230,32.505449028125575
240,29.288018530227273
250,27.899389740098833
260,24.222121373617348
270,19.315866589461113
280,18.960864355065464
290,15.029454094211586
300,11.290761806463742
310,12.151119511976866
