iterations,error
10,151.36311271400376
20,147.1187481178606
30,142.9943244318562
40,139.2021565230174
50,143.18847500349762
60,144.28562549527783
70,147.8539831747424
80,147.85856640245908
90,143.96660077375822
100,147.57791397305016
110,144.94438946951044
120,140.70880543367727
130,138.2590555314025
140,142.059565438556
150,140.13602740858903
160,141.97222145559874
170,143.32849776289828
180,146.68965387921037
190,152.9843769299414
200,156.1959044120499
210,156.1959044120499
220,151.9512427293005
230,151.1279913079866
240,147.98138391547266
250,156.21098916211002
260,159.92475128357162
270,157.2727241080333
280,156.21098916211002
290,158.76221502342224
300,156.22180731635035
310,154.18566907466635
320,153.83710399410288
330,156.07930232838396
340,157.7696481249804
350,161.28317008281448
360,154.83824278044312
370,153.78289837044525
380,158.1382915625761
390,162.4465076532095
400,167.11749575653164
410,167.20286310490195
420,165.4635530109748
430,165.93917343989585
440,165.99046261997793
450,173.14278087612695
460,178.15295335807917
470,179.15374281997595
480,179.65320003505065
490,181.35269956097648
500,185.8857484607088
510,183.75340355747824
520,184.36977346217304
530,185.0278045704992
540,179.2312990812556
550,181.91494030937716
560,179.66377602908545
570,182.50060810845764
580,178.72668176955227
590,181.9445276854675
600,177.0460184342709
610,172.69751984914194
620,172.69751984914194
630,178.55847799781833
640,181.1894735200047
650,185.2857908070962
660,189.86396650365455
670,188.37869711076698
680,186.23367081150056
690,175.7279780953608
700,175.1362177991529
710,173.60544578838733
720,174.47368523517224
730,167.5642566592733
740,163.02497856754954
750,168.72793298643856
760,166.49690316015773
770,167.23846982335482
780,163.1428310222184
790,168.006266145022
800,170.09330483871884
810,173.65873735557508
820,175.88037957257598
830,176.83326398242716
840,174.47466612761136
850,173.4968152207984
860,173.71861791632122
870,179.59220995884334
880,177.5457439773009
890,176.3621151643897
900,180.34588178003145
910,177.5457439773009
920,182.13395639378007
930,177.5457439773009
940,180.92013920884688
950,177.4492137593652
960,176.08913827356386
970,178.75622636795657
980,184.10014885720318
990,184.1705408331041
1000,176.91848255774744
1010,174.4357830692975
1020,178.25823907900428
1030,179.04197913303713
1040,177.32711988062275
1050,173.1181368272137
1060,174.1450456814981
1070,177.08816348299402
1080,178.87640889754363
1090,179.02321952742602
1100,177.52773323418273
1110,178.33155645010672
1120,177.9698836267447
1130,177.65523358866182
1140,175.6972391353339
1150,173.2489640206639
1160,174.98255152083252
1170,166.83199521839722
1180,162.24424991857592
1190,167.36290119105252
1200,164.37893988341557
1210,164.87261396197067
1220,166.9089282048594
1230,167.3323381575994
1240,166.41233790092565
1250,161.69544779857367
1260,153.55363068349226
1270,153.67787424116204
1280,149.87324040599236
1290,152.41110105000644
1300,148.52603629329843
1310,156.31768011561937
1320,152.4503835246303
1330,153.12633471173118
1340,153.12633471173118
1350,151.73210035356038
1360,152.2451286674316
1370,150.00334793590935
1380,150.79331621222028
1390,154.62552853763742
1400,153.5003296389935
1410,148.06616510008672
1420,146.7201444274922
1430,148.90409160082567
1440,149.49087878703716
1450,150.88819086553565
1460,146.21014979324607
1470,150.89773839283774
1480,148.82924917708982
1490,151.02750605253252
1500,153.28037379577682
1510,149.64514146856038
1520,150.11543338500866
1530,148.6099208613442
1540,151.3735988645595
1550,150.67190846360774
1560,159.75574579238756
1570,163.35114653198323
1580,159.31047067268491
1590,162.93807325186543
1600,159.75594564167
1610,160.16972288792488
1620,160.92579467016702
1630,162.67456555932165
1640,162.03979585055657
1650,158.45933690902774
1660,154.73041458999353
1670,152.19514044444327
1680,157.0419397226391
1690,162.10373051116812
1700,157.81771987047446
1710,156.35245305278463
1720,161.60178336991572
1730,163.70409693944794
1740,163.26897438304925
1750,165.06562222513045
1760,163.26897438304925
1770,161.78418742838153
1780,163.35114653198323
1790,159.79892595867057
1800,164.33934979235212
1810,165.13484732591382
1820,159.5263533751281
1830,158.96100692395572
1840,155.94146758844406
1850,152.29199743878246
1860,148.876354074787
1870,153.12525487511303
1880,153.59290629116526
1890,153.16107786002
1900,153.6696997652584
1910,149.76792605342834
1920,150.92749331159592
1930,150.92749331159592
1940,150.33038467700445
1950,145.7071937877748
1960,147.26226804359385
1970,148.5965843220931
1980,151.90963435339188
1990,151.62938548158388
2000,153.21433342477573
2010,160.37130082526974
2020,160.07552085865223
2030,156.66874897626226
2040,156.65779591738632
2050,158.31469624838644
2060,159.89220989380365
2070,160.69048700344155
2080,156.35981835985172
2090,153.51172554499587
2100,156.35981835985172
2110,157.15569793264297
2120,158.908699690602
2130,153.21433342477573
2140,152.3505500699612
2150,153.11424417717717
2160,155.1668343912967
2170,154.08513402017505
2180,156.68483478508915
2190,156.4590000517626
2200,157.93742558394035
2210,159.37138423259336
2220,162.90474296433746
2230,162.27222786019624
2240,158.64034454788597
2250,159.3649029831248
2260,158.63888289655998
2270,155.7347345285944
2280,152.37007238334277
2290,150.91902935374395
2300,151.3735988645595
2310,152.2451286674316
2320,148.57899967838478
2330,149.94335539595068
2340,156.21718138279948
2350,159.17109074875552
2360,159.17109074875552
2370,153.97333391096677
2380,153.77390803639435
2390,151.86962737728757
2400,146.8704735517423
2410,144.29098371053738
2420,146.7201444274922
2430,151.61279890622998
2440,153.3202779711711
2450,151.61279890622998
2460,155.7347345285944
2470,156.8926577037305
2480,158.4571223984372
2490,161.61593024268188
2500,164.79853369272172
2510,164.75665031574835
2520,169.66510161319786
2530,169.5519921282089
2540,170.26305836769745
2550,170.7289296184775
2560,167.35450661645
2570,166.49367928271099
2580,168.78622347154396
2590,167.5626909739602
2600,168.97806672802898
2610,174.41998304241122
2620,174.61509378578452
2630,171.78442202747365
2640,171.8199480252207
2650,170.24772080240365
2660,170.97170058484326
2670,174.29358717624532
2680,176.33900287395105
2690,173.22034230585584
2700,175.81642190543528
2710,170.18475492474968
2720,169.2102682551261
