iterations,error
10,100.87736178902504
20,98.58803456575893
30,96.97933104981179
40,94.15407559406265
50,92.3660247065074
60,89.54041252065693
70,87.0892459685252
80,84.62252581018015
90,81.80855636487426
100,79.41929473982724
110,76.86554332783815
120,73.50772972371574
130,69.80953963006344
140,65.95598373582774
150,62.968899401162815
160,59.59636533598565
170,55.43121358094221
180,50.984281284913926
190,46.51154740480092
200,42.33385729308996
210,36.88687323013645
220,32.08991332854862
230,26.41036629635193
240,22.315031006267326
250,17.726517515684993
260,13.352139374377737
