iterations,error
10,96.15479847221013
20,94.8109320178645
30,93.65977780897958
40,92.62086765542301
50,89.96794037652363
60,87.83256028697606
70,85.34319999387698
80,83.25857379269388
90,80.43981908895456
100,78.28472720285585
110,75.46201116801416
120,73.50008752521123
130,69.81799477929869
140,66.71894945737554
150,63.848579126807856
160,59.79787915657432
170,55.807685787771916
180,51.77049768225231
190,47.74210875763014
200,42.45496348211635
210,37.77516179646008
220,32.29434488807628
230,27.582407606758274
240,22.376610142922907
250,18.102238816653948
260,13.395472771042364
