iterations,error
10,180.28288766407093
20,170.56931481343904
30,162.1175323589502
40,152.49699127401917
50,149.34885413828567
60,136.51745956121482
70,121.69497959194946
80,113.52032817218424
90,102.02062419116976
100,94.97983841586756
110,86.33384518543917
120,76.13867718663762
130,67.75395507088585
140,63.899614034323534
150,60.20822604561176
160,56.0329699677616
170,52.101968250481534
180,47.725572034111124
190,43.49318984140277
200,38.40892178064054
210,33.340967927229855
220,27.657405792670772
230,21.770352381182356
240,16.6673391680725
250,10.353706132212087
