iterations,error
10,97.3036764946536
20,97.35194122782713
30,97.22824133842049
40,96.79059165323108
50,95.61559284035053
60,93.89456202064933
70,92.86582872327828
80,92.01688264145031
90,90.97589254718075
100,89.20366396098956
110,87.01306315874149
120,85.80178184035128
130,84.91747767510677
140,84.11847156991705
150,83.0860569681754
160,80.63938410800857
170,78.86661826060035
180,78.69700819856578
190,76.67649285760902
200,74.48604086136174
210,73.58677927437016
220,71.41511807512885
230,70.32630590677186
240,68.38561735959404
250,67.0493181664972
260,66.39303913791463
270,63.95753607074139
280,62.59125668320017
290,60.566630101967604
300,58.962480229436
310,57.22087286932928
320,55.89381293079316
330,52.55247131282974
340,51.44491536091063
350,49.34025890235858
360,47.91589707611764
370,44.91929783604978
380,44.15534767753595
390,41.81531165251472
400,38.739750492360166
410,37.51771409240851
420,36.96161532996526
430,35.624560893742185
440,35.030018136100864
450,33.72308143303884
460,32.15849767518359
470,31.079406989153185
480,29.10630651926171
490,25.55091401002339
500,21.929694370349818
510,19.122806222522755
520,13.358320145181509
530,12.312828809109773
540,12.205293668978143
