iterations,error
10,178.42197108764378
20,176.44323147290754
30,170.2537649979494
40,166.49350775459982
50,161.1316719222052
60,161.26980224274345
70,151.73402184743185
80,140.0309595221723
90,130.83319816474747
100,121.51086428083111
110,115.05641041464236
120,104.70966830315598
130,88.51693707261822
140,82.73384431868494
150,72.54275147919478
160,62.01957576405504
170,57.388502192409405
180,52.85935624998683
190,49.483505229187045
200,48.154015118148266
210,46.67726679098
220,42.957782969296396
230,40.58035306651396
240,36.432480379516534
250,32.901705108283615
260,28.62552532943721
270,24.13590989581727
280,21.069623830136788
290,19.072593978004086
300,14.715307442669056
310,12.713781010400215
