iterations,error
10,97.01699644082754
20,95.21109954751832
30,93.46890622385433
40,90.47145074413481
50,88.51928659197597
60,86.05932330694739
70,83.45440998619027
80,81.2554431430209
90,78.06304426056096
100,75.00284652990265
110,72.25834308134337
120,69.24409322855846
130,65.52775461572469
140,63.05796697257676
150,60.112024620370946
160,55.89455636217038
170,51.56625845871496
180,46.8184898284095
190,42.27337880832231
200,37.77516179646008
210,33.145778881049495
220,27.777990918524818
230,23.46330837388345
240,20.49784584999033
250,16.132355176486886
260,13.884278393446637
270,9.535398572601961
