iterations,error
10,95.9052463384427
20,93.28956908056986
30,88.95955063307208
40,85.54120541447834
50,85.44214643953158
60,83.75941048293869
70,81.7066780740021
80,79.40270683520149
90,77.87246308442359
100,74.85246221764052
110,73.4597353979828
120,70.97753828310528
130,68.01956668225574
140,65.56469099270205
150,64.47572612266276
160,61.20844496044933
170,59.1630689493619
180,56.94374676285594
190,54.81202321621814
200,51.883665435562364
210,49.23395808917168
220,47.58233828467506
230,45.067284793405264
240,42.39881171411791
250,39.685485554264474
260,36.518164632523415
270,34.50137356031427
280,31.908577274961196
290,31.290710148058558
300,25.102421184793354
310,21.407867417758126
320,17.49577231459443
330,15.028564895097148
340,13.645478049344367
350,16.167227312621918
