iterations,error
10,93.4831021102184
20,90.97992560563694
30,90.14769696506436
40,87.4351211605493
50,84.62271813026605
60,81.95437628714166
70,80.14314466537046
80,76.6915308215577
90,74.06888120672414
100,71.49502064249386
110,67.67272137885266
120,64.71129512529322
130,60.70387391003686
140,56.2742422901196
150,51.739238011262486
160,46.81270006744273
170,42.638608992818035
180,37.7108414385809
190,32.021163777190466
200,27.439353717380342
210,21.58497619046385
220,17.617632137626607
230,12.212997691154964
