iterations,error
10,67.62935858842025
20,67.54995446663605
30,66.12703688238906
40,66.13041637970876
50,66.64569205767876
60,65.40760112977462
70,63.941652610545106
80,62.50231644772134
90,62.33075227971561
100,61.34266093694946
110,62.02291981495594
120,59.92098850135611
130,58.84722744113408
140,57.59120567753442
150,55.99967205549966
160,54.354284623753905
170,51.63091831941232
180,51.63091831941232
190,48.6066072883253
200,47.005929328672536
210,44.999272937031
220,43.688615965831694
230,42.821792849659694
240,39.07316147747664
250,36.58300900631749
260,32.81830715098876
270,30.800013050443845
280,31.10577918356436
290,26.66833457782505
300,23.489988417949405
310,21.05247033135351
320,19.07361692610828
330,17.7731334049768
340,17.750156839284593
350,14.946232635546949
360,15.360759574718182
