iterations,error
10,88.41295450626795
20,85.88416513795678
30,84.61491911285226
40,83.46276765376619
50,81.79605385568506
60,80.87357250364782
70,79.97738771057395
80,78.08480438218031
90,76.86526317750447
100,75.04905295767551
110,73.24841993108461
120,70.60481657432611
130,68.55876550278198
140,66.41870248219884
150,64.26671843254029
160,61.58122815671081
170,61.02109436077889
180,59.60557233639758
190,55.63946369152701
200,54.57466028145129
210,53.12788083359977
220,51.913926120820946
230,50.915821522552726
240,48.93175394662512
250,47.31705712061784
260,44.76482893446703
270,40.7712161931925
280,40.87596212571892
290,37.54131290531717
300,35.356007119299974
310,32.232028383946414
320,31.64176166261128
330,29.553304234584704
340,26.992631350530218
350,23.51395814575414
360,19.51498730607658
370,15.304881845108577
380,13.865509031394197
