iterations,error
10,138.74588098730982
20,137.98030192892372
30,137.09064255198496
40,136.80064010621732
50,131.8433344345022
60,124.29074650187682
70,113.94825471440775
80,101.13241771725605
90,88.65280484539768
100,76.34725535791087
110,68.66803777660537
120,64.79820975963842
130,59.30655236754275
140,49.707105457772144
150,43.13723658482048
160,38.1821977379719
170,36.67753843549261
180,33.25823229512228
190,32.21717149364663
200,27.14524746818679
210,25.914643295869162
220,21.024637889003735
230,14.616428642233323
240,14.273129161752724
250,16.751783404511503
260,15.807155188959968
