iterations,error
10,95.27958233072289
20,93.08339059205294
30,92.15579541137961
40,91.06849628394455
50,89.31038196493299
60,87.60817124118185
70,87.54496043699436
80,85.55936089139391
90,84.60038021300068
100,83.14668077377391
110,82.09085016775104
120,80.11617271538641
130,77.89731773649669
140,75.63366932366463
150,74.24226045663225
160,71.96463381317002
170,69.58190853735483
180,67.52066396642226
190,64.09019897854603
200,62.46581292508102
210,61.20844496044934
220,58.864810820259024
230,55.738906081371
240,52.470862024989316
250,52.14117158808948
260,48.402259536953196
270,46.05209958487468
280,42.66565078938001
290,40.089476421087255
300,39.90100537823621
310,37.61909941306774
320,33.62859837129085
330,31.24188969114971
340,26.529756773485417
350,21.78700427533733
360,16.550152960122567
370,14.770120959162973
380,15.209819266700471
390,17.770533883304438
400,17.3276681589632
410,14.740293309598004
