iterations,error
10,88.65593972038813
20,86.0104921187292
30,85.49675326556472
40,83.73537516512297
50,82.66724034979927
60,81.5098730780093
70,80.06994087050788
80,77.44476431158581
90,76.55127603618877
100,74.71755009101118
110,71.6487792917269
120,69.88448000842622
130,67.09116050394533
140,63.99493836019092
150,60.93296305966996
160,59.721849202241536
170,56.370467978708355
180,52.803038123532474
190,48.63257105225673
200,45.36695576786892
210,44.48563743406116
220,41.21464448850636
230,35.909275774924595
240,34.24324437694098
250,30.201485852477678
260,29.05996068165616
270,22.810853293876242
280,18.70677696342004
290,13.420035215384226
300,12.142464737463808
