iterations,error
10,96.74220160282817
20,94.34059951611013
30,91.28464906283189
40,88.89492660277682
50,86.02268524924719
60,83.60545646720873
70,80.20843347317461
80,76.82655207563285
90,73.96025392680669
100,70.38355426391826
110,66.45749786153806
120,63.106410963066935
130,59.3547307165243
140,54.67994737556258
150,51.02465849923737
160,46.45299178833705
170,41.60773323998856
180,37.2994545533009
190,32.32758517605927
200,26.78952598617111
210,21.46131478012398
220,15.620102694581801
230,9.526163589946737
