iterations,error
10,155.10279538657196
20,154.8359125215521
30,159.5659786131089
40,154.22839661134967
50,152.11147488526095
60,144.82444245927815
70,147.8909589642913
80,139.14366038801762
90,140.28501192766905
100,133.1119312041066
110,126.07971430173916
120,125.04419688962199
130,126.31291578674828
140,125.26097257641493
150,121.67116206226629
160,121.69893068623193
170,118.72552993569136
180,111.44593633353357
190,106.98731242680569
200,104.89025763811625
210,103.60275680976571
220,104.07082679817394
230,99.94617278884517
240,94.07383877159346
250,88.25386878247834
260,89.63955027963345
270,86.43757378580693
280,86.17049695908284
290,86.92732134573201
300,80.17854866523568
310,77.30282669620124
320,73.53866298150211
330,69.61572798681692
340,65.80979303441275
350,65.44297309970929
360,59.5860847014977
370,60.084631990641945
380,50.1853477012422
390,41.89549581397969
400,43.0216220036783
410,41.6067488462196
420,33.27992274437497
430,36.01530696758495
440,28.072412177237773
450,28.077109820414357
460,27.541863630667244
470,14.617214960901293
480,10.685016157067285
490,10.861098076739875
