iterations,error
10,85.04778458268463
20,84.62777017568673
30,83.3987489531265
40,82.40888361896796
50,81.00187987642502
60,80.3997767571452
70,78.99887713068341
80,78.6035039373961
90,77.22597539859271
100,75.9835080228963
110,74.66573488166546
120,72.38039339525636
130,69.12173989484614
140,66.33530484184438
150,63.38724481509264
160,60.69848406580432
170,58.8464950014388
180,56.39740500672457
190,54.403092276708264
200,52.799292304520165
210,49.99615043965566
220,46.9972717022505
230,43.477317654879734
240,41.10059736589105
250,39.312957705766024
260,39.088257652802156
270,35.08291082879521
280,32.83079406578009
290,27.753085441064165
300,24.9761549916907
310,22.019700154129918
320,20.653910682586588
330,14.777281827915093
340,11.035621941210419
