iterations,error
10,91.02610667426349
20,91.54047801724535
30,91.15478115062884
40,89.78426595307556
50,85.79620985750842
60,82.52130537942107
70,80.54442272451234
80,77.56110807347136
90,76.04637389944013
100,73.52403888120784
110,71.3420410327489
120,70.30355469568345
130,67.91856340061953
140,64.5704977713886
150,61.61771324257994
160,58.52764503087935
170,56.223277091370164
180,52.54324952656674
190,49.687756819734716
200,46.9212435243866
210,42.85103130593614
220,41.60284074328203
230,38.81368365967312
240,34.76955651740869
250,33.54187451976653
260,30.20161020656988
270,25.28418737471958
280,20.34840570129377
290,18.73576262428603
300,17.658633741054487
310,14.051558175340329
