iterations,error
10,97.73504587054393
20,96.37535550881083
30,94.54707351180934
40,92.12433971052684
50,90.26570702099222
60,88.10733505508782
70,85.95903561783305
80,83.06365647920903
90,80.08079832204845
100,77.03864020187902
110,74.8012670140244
120,71.61188133118145
130,67.71608636439584
140,63.67901938391802
150,59.64951905456091
160,55.42502239453269
170,50.32588600901372
180,46.62957548230811
190,41.01210671693126
200,36.80609683735963
210,32.52127456907161
220,26.17290794196645
230,19.660486872162796
240,13.1680996708092
