iterations,error
10,99.41940507422186
20,87.08037859469954
30,80.40270715125178
40,76.59163978341721
50,74.25320152900356
60,67.93768816201681
70,65.37294981060487
80,62.70594276871149
90,59.30600462986696
100,54.82678408626239
110,52.3554529999206
120,49.20972967261483
130,45.1029355797306
140,44.04192582777872
150,40.267532368868935
160,36.76334176627732
170,32.74864414927685
180,30.312589521167943
190,26.68525359422449
200,22.531028595648834
210,22.297343315240703
220,18.461697999412543
230,15.557103899606501
240,12.194360452138834
