iterations,error
10,166.35818984587107
20,153.0047492824143
30,141.86709746744
40,132.40113397935497
50,124.68189033973233
60,111.78273229035727
70,105.15282181032775
80,95.50809249776225
90,84.0527233644929
100,77.90264038962513
110,69.80682754329112
120,62.491865346716395
130,59.05094131798265
140,55.81261998735281
150,52.54217184152368
160,48.52383932279963
170,46.01019238070841
180,42.05720838256333
190,38.57219003067621
200,33.47464971797117
210,30.748823880801258
220,28.74499990182433
230,24.528597722092393
240,21.38030995165598
250,17.37626891650147
260,14.345551597357462
270,11.925397182406154
