iterations,error
10,83.06322190359978
20,82.53305679315095
30,80.8383524904257
40,80.4791577651776
50,79.3986827365384
60,77.07137685940363
70,75.70618047453071
80,74.28287252510594
90,74.53337005199089
100,73.17382338928189
110,72.01707253918924
120,71.0641434060085
130,70.13885164349922
140,69.06984367434728
150,68.19992118697068
160,67.59155657341417
170,65.91182748780922
180,63.645590549210986
190,63.84105704565065
200,62.851214553609125
210,61.871590753140495
220,60.99441874719105
230,58.67667989922293
240,56.873192839463506
250,54.385706341404074
260,53.64989328100462
270,52.15852324036854
280,50.64757515548781
290,48.87344549638835
300,46.61056114146231
310,47.41907361079424
320,46.51041055322965
330,43.37646799065258
340,44.208750191082274
350,41.58901625487748
360,39.560525733214554
370,38.17552443210911
380,33.46050584474617
390,33.99257275807186
400,30.836314780337112
410,27.4080909035631
420,25.30485820681523
430,25.429778224356212
440,24.95961894292857
450,19.15339539253268
460,16.783819407631402
470,14.053291440028095
480,13.937691345566957
490,10.040077207037502
