iterations,error
10,96.76596830758875
20,94.43274909544404
30,92.76256311834727
40,90.15072639367341
50,88.18270710329375
60,86.02854519051039
70,84.7766833246338
80,84.30263704413386
90,82.11146457872422
100,80.02417952381218
110,77.96254434587546
120,74.72176845986074
130,71.92721905096668
140,70.12940853463536
150,66.4745408332346
160,64.05526602899903
170,59.84210577183865
180,56.743526270461814
190,52.104874316172136
200,49.16333274183032
210,45.656251263840694
220,42.18181212594463
230,37.14000156895009
240,33.10679456688736
250,28.52448736991102
260,22.580958744075147
270,17.78801937849814
280,16.244102353427344
290,11.973450231377381
