iterations,error
10,94.78392700564889
20,93.98022072402954
30,91.68295829630026
40,89.19024183035468
50,88.32079907966909
60,86.80299291335339
70,84.44725896807948
80,83.08619897415771
90,79.61772902323895
100,77.67476500673659
110,75.60478606029875
120,73.8416734137313
130,71.61108312775687
140,69.38719918740443
150,65.95075042258243
160,63.23397686226451
170,59.53490514781855
180,56.9747230731669
190,53.85852543372445
200,50.27911670399023
210,46.72429414360063
220,42.18008316214941
230,36.76844859805611
240,34.012603496085816
250,30.42851704214613
260,27.141335476712424
270,22.854980139850063
280,16.70560566154345
290,10.445649631703555
