iterations,error
10,91.96886978528673
20,91.66723571470759
30,91.08034722149654
40,89.97280409175201
50,89.0143389777745
60,87.49091736178123
70,86.8997090242388
80,85.60572829442694
90,84.35622264764557
100,84.30001332347611
110,81.09858351415359
120,78.9496764585491
130,76.13606801231944
140,74.67725060658226
150,73.10467887697604
160,70.10536762139472
170,66.33312993530392
180,62.79065502349718
190,60.077012594793565
200,55.947354827770376
210,52.933066013498554
220,49.684974626147174
230,48.375543696338944
240,44.79916552931214
250,43.12183256910812
260,41.07417720771101
270,38.58800628840305
280,37.98024787875862
290,34.194260106521746
300,31.83245895220717
310,29.728651647103966
320,27.696209847887367
330,24.619380803667966
340,18.63280716227038
350,15.978537704940903
360,12.527806833508745
