iterations,error
10,90.23213866128354
20,86.60373376588619
30,80.09059726637363
40,69.99729135131763
50,64.41389973569405
60,62.27840813484379
70,60.398543423619174
80,57.515112468880275
90,54.60959289193594
100,50.69931401588646
110,46.30838188344742
120,42.90929766550639
130,39.73752276565965
140,36.70220357986304
150,32.909014330780835
160,31.90517713697991
170,30.427631151882807
180,25.0423120011167
190,22.71300797094347
200,19.36511894950604
210,15.705108467086585
220,13.972722741487406
230,11.12275378522919
