iterations,error
10,118.7950282128212
20,107.69757503696856
30,101.75417973166103
40,89.34454634823115
50,84.1405712517372
60,75.87159532348758
70,72.02972386446338
80,68.85819549194952
90,68.01974784815069
100,66.93238241745078
110,65.51831081983774
120,62.905923276205264
130,62.76087021124114
140,60.333409074722304
150,57.464260419559395
160,55.84542122848726
170,53.48454708226366
180,52.8038398171627
190,49.90497160207714
200,48.60033854909028
210,45.4674430380685
220,42.23649576044997
230,38.60341695369819
240,35.70251029010462
250,32.94204389261922
260,30.00018817110575
270,24.449070365435368
280,20.749284328906516
290,19.58422236023935
300,16.277098063622546
310,15.55077967611114
320,15.962875803085447
330,11.010463758174591
