iterations,error
10,100.87736011995011
20,94.60828363845319
30,87.50811700773225
40,84.09904499458855
50,80.06713891485619
60,76.98712393846033
70,74.79367806920993
80,71.6487792917269
90,68.29005921900075
100,65.99055115176546
110,63.09441807455434
120,59.63719230298968
130,56.378014786458294
140,51.65090444223848
150,47.742761436714275
160,43.40309336118599
170,40.60277140184924
180,36.26520291525114
190,31.60682711372938
200,27.119423934200356
210,23.298576801436806
220,16.647548698613853
230,12.395587062121384
