iterations,error
10,97.07632406371155
20,97.7074828777715
30,95.21025283945596
40,93.07558573912024
50,90.24999912229477
60,87.61041758769802
70,84.96212337711023
80,82.50330015114098
90,79.67933900819597
100,76.18933552967394
110,72.62096277624914
120,69.44510298843302
130,65.73191317563784
140,62.78828721792217
150,59.08813573357468
160,55.65606970891325
170,51.51983609304885
180,48.23207766981085
190,43.52715912239768
200,37.7604085552443
210,31.946796845120566
220,27.48317311132692
230,22.93713737702091
240,16.120917295756485
250,9.864568922020167
