iterations,error
10,94.61949028749376
20,93.45178428409815
30,92.24035943612014
40,89.92579363910941
50,88.22984108278214
60,86.35332574422276
70,84.72055558588637
80,83.9348978537009
90,82.05455941800854
100,79.79768811330865
110,76.5936949043726
120,73.77391422418273
130,70.58564909711815
140,67.07611605582528
150,64.59911324496211
160,60.35117422368983
170,57.61399012660347
180,54.802950680312094
190,51.856597619937325
200,48.99493439368446
210,44.12040787522876
220,39.73032312581224
230,34.48719344070987
240,30.155516504504714
250,28.21484442587498
260,22.979355996872382
270,16.966906771983815
280,11.97465165176226
