iterations,error
10,154.07499608353743
20,146.91097619411903
30,138.19319696073447
40,130.26861660872325
50,117.39080925170248
60,111.40144112313098
70,104.17877932384668
80,95.42675833589911
90,84.92668233386101
100,74.53252274941002
110,62.26722023973893
120,53.91606092354164
130,47.6451751241652
140,43.244204108896355
150,38.23743169292062
160,34.1745437119812
170,31.153914755241473
180,27.94546882308783
190,23.961957202978397
200,20.76388667168661
210,15.298196635952666
220,14.971932972675743
