iterations,error
10,73.56522882968348
20,72.0065615479137
30,71.50184477906794
40,70.09054196100497
50,67.27536635184606
60,65.20150305028082
70,65.10948838117203
80,63.32214811666834
90,61.63942041371946
100,57.95294638548663
110,56.64568063068407
120,54.67957822548992
130,51.43549520533742
140,50.75433303574712
150,49.04821382028675
160,46.81922386295158
170,44.86646407551231
180,41.54901595336333
190,39.027428666038844
200,37.139456459008095
210,36.571151454149785
220,33.979113907258395
230,32.655104893725
240,29.442311455077494
250,28.386429391671044
260,30.65744463530652
270,28.988197154364137
280,23.326123855001
290,21.148511917339512
300,21.148511917339512
310,20.171821649282347
320,16.93495450003077
330,17.6536867489213
340,14.913217315353656
350,12.49453549110759
360,16.97081161427729
370,14.931555371202599
