iterations,error
10,100.53224746239903
20,99.80926924162657
30,98.77831055548678
40,97.7579383197461
50,96.97933104981179
60,95.24698484440435
70,93.78052417532297
80,92.8865547659848
90,91.3290162418769
100,91.03198792607982
110,90.33509588089949
120,88.84645205554719
130,86.3999811515936
140,86.2283772518186
150,84.9845312540644
160,83.19672847310999
170,81.52920934557726
180,80.02424791203124
190,78.61924192820135
200,76.11864631900778
210,74.9063554511644
220,72.28953684807736
230,69.46774448764695
240,68.54187690074204
250,65.01316520983278
260,63.84805760979333
270,60.548626171740494
280,60.303913166893565
290,57.35510792981418
300,54.43069023218495
310,53.01415554105641
320,50.86105796392647
330,47.65945363718165
340,43.51699494192956
350,42.23742521699907
360,41.00756451760515
370,37.19618425828762
380,32.66810392757644
390,28.01966672197939
400,24.436444929501505
410,26.457506905615976
420,20.96672933609139
430,20.196660558262067
440,15.383616271543556
450,12.647851507697473
